network_id,user_id,meta_user_id,event_name,controller,action,client_name,user_agent_name,user_agent_version,continent,country,d28_events,d14_events,d7_events,d1_events
1,6,6,email_open,beacon,email_open,Web,chrome,17.0,North America,United States,5,3,1,0
1,6,6,email_open,beacon,email_open,Web,chrome,18.0,North America,United States,1,1,1,0
1,6,6,engagement,analytics,index,Web,chrome,18.0,North America,United States,1,1,1,1
1,6,6,engagement,api/v1/feed_clients,create,iPad,yammer_mobile,4.2,North America,United States,2,0,0,0
1,6,6,engagement,api/v1/feed_clients,create,iPhone,yammer_mobile,4.2,North America,United States,33,21,11,1
1,6,6,engagement,api/v1/messages,algo,Web,chrome,17.0,North America,United States,17,4,0,0
1,6,6,engagement,api/v1/messages,algo,Web,chrome,18.0,North America,United States,9,9,9,2
1,6,6,engagement,api/v1/messages,algo,iPad,yammer_mobile,4.2,North America,United States,7,0,0,0
1,6,6,engagement,api/v1/messages,algo,iPhone,yammer_mobile,4.2,North America,United States,68,0,0,0
1,6,6,engagement,api/v1/messages,create,Web,chrome,17.0,North America,United States,72,26,5,0
1,6,6,engagement,api/v1/messages,create,Web,chrome,18.0,North America,United States,9,9,9,6
1,6,6,engagement,api/v1/messages,create,iPad,yammer_mobile,4.2,North America,United States,1,0,0,0
1,6,6,engagement,api/v1/messages,create,iPhone,yammer_mobile,4.2,North America,United States,18,10,6,2
1,6,6,engagement,api/v1/messages,following,Web,chrome,17.0,North America,United States,29,11,2,0
1,6,6,engagement,api/v1/messages,following,Web,chrome,18.0,North America,United States,14,14,14,2
1,6,6,engagement,api/v1/messages,from_user,Web,chrome,17.0,North America,United States,6,1,0,0
1,6,6,engagement,api/v1/messages,from_user,Web,chrome,18.0,North America,United States,3,3,3,1
1,6,6,engagement,api/v1/messages,general,Web,chrome,18.0,North America,United States,2,2,2,0
1,6,6,engagement,api/v1/messages,in_group,Web,chrome,17.0,North America,United States,7,5,0,0
